Title,Platform,Genres,Release_date,Publisher Name,Age Rating,Metascore,Description
BioShock 2,"PlayStation 4, Xbox One, Nintendo Switch, PC, macOS, Xbox 360, PlayStation 3","Action, Shooter","Feb 9, 2010",2K Games, Not rated,88,"The second game returns us to the city of Rapture, on the New Year’s Eve, but this time player takes control of Subject Delta, Big Daddy, that’s been separated from his little sister and has been forced to shoot himself 2 years before the events of the first game took place. And after his awakening 10 years later, players will help to save the last sane citizens of Rapture. As seen in the previous game, the player will have access to new weapons, unique to Big Daddies, power drill and a rivet gun, alongside an array of plasmids, Tonics, and guns. Now players will be able not only save Little Sisters from other Big Daddies, and then either harvest ADAM directly, or protect them while they collect ADAM for their new guardian. Bioshock introduces a new enemy type, Big Sisters, which are extremely agile and fast versions of Big Daddies. Newly added multiplayer brings several never seen formats to the series. Aside from expected Deathmatches, the game added story-driven mode Fall of Rapture."
Hitman,"PlayStation 4, Linux, macOS, PC, Xbox One","Action, Shooter, Simulation","Mar 11, 2016",Square Enix,18+ Adults Only,83,"Hitman is a six episodes game with different contracts. The action takes place as a prequel to Hitman: Agent 47 (only prologue) and episodes take place six years after Hitman: Absolution. All contracts are being ordered by a ""shadow client"" and seem to be unrelated. But as you fulfil those contracts, you start to realise that all of the targets somehow are a part of a secret organisation called the Providence."
Outlast,"Xbox One, PlayStation 4, Nintendo Switch, macOS, PC, Linux","Action, Adventure, Indie","Sep 3, 2013",Red Barrels,17+ Mature,80,"Cinematic gameplay is used to make a stylistic point, and this psychological horror game performs just that. Outlast follows the story of investigative journalist Miles Upshur, that got the lead on the inhuman experiments, performed on the asylum patients. Outlast forces players to run away from danger, simply because there is no combat system. All Miles can do is to document what is happening inside the Mount Massive Asylum. Players do not have a flashlight, only a night vision camera, which constantly requires batteries in order to function. Miles will be pursued through the halls, rooms, yards and enclosed laboratories by distressed and aggressive inhabitants. Over the course of the game, players will have to solve puzzles by locating and collecting items and travel through the Asylum with realistic movement animation and horror sting sound effect, in order to make players sympathize with the protagonists."
Marvel's Spider-Man,"PC, PlayStation 5, PlayStation 4","Action, Adventure","Sep 7, 2018",Sony Computer Entertainment,13+ Teen,87,Marvel's Spider-Man offers the player to take on the role of the most famous Marvel superhero.
Half-Life,"PlayStation 2, PC, macOS, Linux, Dreamcast","Action, Shooter, Puzzle, Platformer","Nov 19, 1998",Valve,17+ Mature,96,"Half-Life is the original game in the series. Being a revolutionary at the time, we follow the story of Gordon Freeman - a silent scientist at the facility called Black Mesa. Arriving late at work and hastily doing his routine he runs into the experiment field. However, the experiment goes completely wrong and opens a portal to a completely different dimension called Xen. The laboratory is destroyed as well as the facility itself, as unknown creatures like Vortigaunts are now everywhere in the facility. Gordon must battle his way to the surface and find a way to close the portal."
Path of Exile,"Xbox One, PlayStation 4, PC","Action, RPG, Massively Multiplayer, Indie","Oct 23, 2013",Grinding Gear Games, Not rated,86,"Path of Exile is inspired by Diablo II and follows it basically in most of the aspects. Randomly filled pre-set of locations, heavy grind and a possibility of replaying most of the areas leaves us with only one possible outcome. "
PlayerUnknown’s Battlegrounds,"PC, Xbox One, PlayStation 4","Action, Shooter, Massively Multiplayer","Dec 20, 2017",Bluehole, Not rated,81,"PLAYERUNKNOWN’S BATTLEGROUNDS is battle-royale shooter made only for the multiplayer experience. Players should do their best to become the last one alive. Matches are held on 3 main maps of a large size (Erangel, Miramar, and Sanhok). Each match has 100 participants fighting for themselves. The battle begins with players making the leap out of the plane to spread out across the map and to gather all possible equipment required for survival. Then, after a while, game intelligence randomly sets a circle shape safe zone, which gamers must reach to stay alive, and marks it on the map. Gear and resources are scattered throughout the map, so players can grab everything they need while running to the zone. Therefore, the main action comes out of the players’ collision on their ways to the circle. You can join the fight either alone or in a team (up to 4 people). Due to the customization system, lots of clothing items and weapon skins could be both bought on the marketplace and found in crates. However, in-app purchases don’t actually affect the gameplay."
Fallout: New Vegas,"Xbox One, PlayStation 4, PlayStation 3, PC, Xbox 360","Action, Shooter, Adventure, RPG","Oct 19, 2010",Bethesda Softworks,17+ Mature,84,"Fallout: New Vegas is the second instalment after the reboot of the Fallout series and a fourth instalment in the franchise itself. Being a spin-off and developed by a different studio, Obsidian Entertainment, Fallout: New Vegas follows the Courier as he's ambushed by a gang lead by Benny, stealing a Platinum Chip and heavily wounded, practically left for dead. As he wakes up, he minds himself in the company of Doc Mitchell who saved our protagonist and patches him up. This section of the game is given for customising your characters, picking traits and the look of the main hero before embarking on his journey to retrieve Platinum Chip."
The Elder Scrolls V: Skyrim Special Edition,"PlayStation 4, PC, Xbox One","Action, RPG","Oct 27, 2016",Bethesda Softworks,17+ Mature,79,"The Elder Scrolls V: Skyrim Special Edition is the 2016 reinstallment of the open world fantasy RPG, developed by Bethesda Game Studios. Following the original release of 2011, Special Edition focuses on reshaping every sword and ax, polishing every stone in the high castles and the suburbs of the low, overall bringing a renewed experience to its fans and newcomer players.
After 5 years of the original’s glory, this collection of all the content, available with the game itself, offers to once again set foot on the snowy mountains of the Skyrim province of Tamriel. The magnificent open world, full of breathtaking environments and landscapes, welcomes all its players to embark on another journey. Explore the even more beautiful flora of Skyrim, fight the most dangerous fauna, and many more.
The Elder Scrolls V: Skyrim Special Edition now includes full support of community-made and developer-approved mods, allowing for even more exploration and experiments with the in-game contents. Continually expanding, the database of various new quests, characters, and locations not disappointing any player, while some modifications try to focus on enhancing the vanilla experience to the maximum."
Company of Heroes 2,"Linux, macOS, PC","Strategy, Simulation","Jun 25, 2013",SEGA,17+ Mature,80,"Company of Heroes 2 is the second installment in the series of real-time strategy games, following its predecessor’s legacy as one of the most complex and realistic WWII simulators. New features and game engine improvements will provide the most intense experience of the most significant battles of both the Western and Eastern fronts of the war.
After seven years since the first game’s release, Company of Heroes 2 provides the players with new battle mechanics, even more, micromanagement and new game modes, as well as an expanded single-player campaign, taking place in the Eastern front. The key features of the first game, being the dynamic environments and cover system, have also been overhauled, with additions as a line of sight for every troop. The warfare itself has also been changed, removing the mechanics of doctrines and adding traits to various generals on the field.
The game also includes additional content, which adds two new Allied factions, the US expeditionary forces and the Royal Army, and new campaigns for both factions, while also improving performance and adding new features to the game, such as tech trees, various tactics and many more."
Hellblade: Senua's Sacrifice,"Xbox One, Nintendo Switch, PlayStation 4, PC","Action, Adventure, Indie","Aug 7, 2017",Ninja Theory,17+ Mature,83,"A dark fantasy game that takes inspiration from Scandinavian and Celtic folklore, Hellblade is set in a gritty barbarian world full of weird wooden structures and creepily masked enemies. "
Half-Life Deathmatch: Source,"macOS, Linux, PC",Action,"May 1, 2006",Valve,17+ Mature,90,"A direct port of the original Deathmatch mode for the half-life to the Source engine slightly improves the game flow, by making controls more responsive and the connection more stable. Half-Life Deathmatch Source recreates the gameplay of the original multiplayer of Half-Life. All players are randomly spawned at the different map points and battle each other within a free-for-all brawl. To acquire any resource (weapons, ammo, health, and energy) players must scavenge the map for the various caches. Victory is achieved by obtaining the largest amount of kills during the match, by eliminating other players. In case of the draw, the player with the least amount of deaths is a winner of the match. Aside from the user created content, there are 8 available maps for the Half-Life Deathmatch: Source."
Don't Starve Together,"Linux, Xbox One, PlayStation 4, macOS, PC","Action, Simulation, Indie","Apr 21, 2016",Klei Entertainment, Not rated,83,"Don't Starve Together is surrealistic and grim survival game made up for six people simultaneously. Initially, Don't Starve is a single-player game with a core mechanic of going through various problems of your character. You have to sleep and eat well. Also, you have to keep your mental health all right and don't go completely mad at a situation, when these dreadful and twisted creatures are running towards you to tear apart. It seems like the world of Don't Starve is heavily inspired by Tim Burton, having a very grotesque yet creepy and bizarre-looking monsters and locations with an atmospheric soundtrack."
Metal Gear Solid V: Ground Zeroes,"PlayStation 3, PlayStation 4, PC, Xbox One, Xbox 360","Action, Shooter","Mar 18, 2014",Konami, Not rated,80,"Metal Gear Solid V: Ground Zeroes is a standalone prologue for the main entry of the series, Phantom Pain. As Snake now is the Big Boss, Ground Zeroes follows Peace Walker entry some little time after it. Considering that Paz Ortega Andrade has died, MSF starts to work in different ways when suddenly there is information that Paz is being detained by Camp Omega on Cuba. The situation becomes even worse when Ricardo ""Chico"" Libre is sent for rescue and being captured as well. Snake is now headed to Cuba to save them or confirm their deaths. "
Metro: Last Light Redux,"Nintendo Switch, PC, Linux, Xbox One, PlayStation 4, macOS","Action, Shooter","Aug 25, 2014",Deep Silver, Not rated,76,"It is the sequel to the game Metro 2033. Both games are based on the world of Dmitry Glukhovsky's novel Metro 2033 - in post-apocalyptic Moscow, in the tunnels of subway lines groups of very different people survive. And not only people. There are mutated people there, and mutated animals. They are distinguished by unusual abilities, but even more - behaviour strategies. In the struggle for the remnants of resources, all these beings spend their gloomy days.
All characters use unusual and unexpected means for life and war. Something is created from the remnants of a past, normal life, something has already appeared in a new, changed world.
Locations are struck by an unusual synthesis of the ruins of a known world and traces of a catastrophe.
From the previous game Metro: Last Light differs, according to general opinion, by careful work on the remarks and shortcomings of the previous game. The set of weapons is significantly expanded, the technologies of Metro 2033 have become more developed.
The game has two fundamentally different endings and five additions."
Bastion,"PlayStation 4, PS Vita, Xbox One, PC, iOS, Linux, Nintendo Switch, Xbox 360, macOS","Action, Adventure, RPG, Indie","Jul 20, 2011",Warner Bros. Interactive, Not rated,86,"After the Calamity, most of the world was destroyed and seemingly everyone was turned to stone, except the Kid. As the Kid, players will have to flee collapsing city, in order to reach the Bastion, where the game’s narrator Rucks, will instruct players to collect the Cores. Most of the story will be told through the narration and music. "
BioShock 2 Remastered,"PlayStation 4, macOS, PC, Xbox One, Nintendo Switch","Action, RPG","Sep 15, 2016",2K Games,17+ Mature,83,"Bioshock 2 is a shooter with RPG elements, centered around resource-management to a great extent: more like an RPG than a shooter. The game is made by 2K studios and represents the final part of a dystopia dilogy — preceded by the original Bioshock. Its successor is Bioshock Infinite.
You play as Big Daddy — a giant mech with a drill replacing one of the hands. The game, while they both are telling the story of a charming Rapture — the city descended from Orwell's and Zamyatin's pages where the society's greatest mind have suffered a severe decline.
The central feature of the game is the unique abandoned city's aesthetics — minding the time Bioshock 2 is still a beautiful title, with detailed drawn water and strange surroundings, never mind the variety of foes.
The remaster introduces a 4k resolution — it is now more enjoyable to explore Rapture and enjoy its various landscapes and sea-filled quarters. Among the other features: high-res textures and a set of Protector Trials, which can give the player freakish weaponry and ammunition."
Monster Hunter: World,"PlayStation 4, Xbox One, PC","Action, Adventure, RPG","Jan 26, 2018",Capcom,13+ Teen,89,"Monster Hunter: World is the fifth game in the Japanese franchise Monster Hunter, which is about hunting giant beasts. It is set in a medieval fantasy setting, on a continent known as the New World that is being colonized by the humans from the Old World. The plot revolves around a dragon migration called Elder Crossing. Your protagonist is a hunter, whose name and appearance can be customized. You traveled from the Old World to study and hunt the dragons and other local monsters. 
The hunter, accompanied by an assistant, starts at the city of Astera, from where they can freely wander the open world. There are six regions in the New World, each with its own base camp. The camps are where you have to thoroughly prepare before every expedition, gathering equipment and provision. Before you can fight monsters, they need to be tracked down using Scout flies and studied to discover their habits, strengths, and weaknesses. There are no character levels, so your hunter’s effectiveness relies on the hunting gear you have equipped. Advanced armor and weapons can be created using a detailed crating system. Many items that you found on missions, including body parts of monsters, can be used for crafting."
Brutal Legend,"Xbox 360, PlayStation 3, Xbox One, iOS, PC, Linux, macOS","Action, Strategy","Oct 12, 2009",Electronic Arts, Not rated,80,"Heavy Metal is a way of life and a world in itself, but Eddie Riggs found the real one, after the accident during a concert left him crushed by the scenery and making the involuntary blood sacrifice to the Ormagöden. The action adventure game with the real-time strategy elements in the open world introduced a star voice cast, compiled by musicians that became prototypes for some of the characters players will encounter during the game. Aside from the main story, players will be able to encounter dozens of side missions that may vary from the defense battles to a race. When using his V-guitar named Clementine, Eddie can cast spells, called Solos, by a simple rhythm game, reminiscent of Guitar Hero. Some story missions are so-called Battles of the Bands, where players will fight the armies in a real-time strategy fashion, and winning by outperforming the enemy band and destroying the stage."
Paladins,"PlayStation 4, Xbox One, Nintendo Switch, macOS, PC","Action, Shooter","Sep 15, 2016",Hi-Rez Studios,13+ Teen,78,"Paladins (also known as Paladins: Champions of the Realm) is a free-to-play multiplayer first-person shooter. The game is, according to developers, influenced by Team Fortress 2 and is an example of hero shooter subgenre: a type of multiplayer shooter in which you choose to play as one of the pre-made characters with unique abilities and weapons¬. 
The primary game mode in Paladins is the siege. Two teams are fighting for the capture point in the center of the map. When a team successfully seizes the capture point, it gets 1 Objective Point, and the Payload spawns for them. Now they must escort the Payload to the enemy’s base to get additional Objective Point. The hostile team can, however, steal the Payload to get Objective Point themselves. Once a team gets 4 Objective Points, it wins the match. 
There are more than 38 heroes (or “champions” as they are called in the game) available in Paladins. Initially, the player has access to 5 of them at any time, and 4 more are in a two-week rotation. To permanently get any other champion, the player has to buy the champion via in-game currency or buy the champions pack for real money."
Hades,"PlayStation 5, Xbox Series S/X, PlayStation 4, Nintendo Switch, PC, Xbox One","Action, Adventure, RPG, Indie","Sep 17, 2020",Supergiant Games,13+ Teen,93,"Hades is a rogue-like dungeon crawler that combines the best aspects of Supergiant's critically acclaimed titles, including the fast-paced action of Bastion, the rich atmosphere and depth of Transistor, and the character-driven storytelling of Pyre."
Watch Dogs,"Xbox One, Wii U, Xbox 360, PlayStation 3, PlayStation 4, PC","Action, Adventure","May 27, 2014",Ubisoft Entertainment,17+ Mature,77,"In WATCH_DOGS you play as Aiden Pierce. A professional hacker that can do anything that he pleases with the city due to a new electronic system that now controls almost every aspect of the city - ctOS. By using Aiden's phone, you are able to penetrate any device in the whole city and do whatever you want it. For example, you can hack through someone phone and rob his bank account, or gain control camera system and observe things around you. "
Max Payne 3,"PlayStation 3, PC, Xbox 360, macOS","Action, Shooter","May 15, 2012",Rockstar Games,17+ Mature,87,"In Max Payne III we see Max from a new perspective. Taking place nine years after the second game, Payne left the police department in New York and now serves as a private security contractor in São Paulo, Brazil. Guarding the Branco family - Ricardo, Victor and Marcelo, everything turns into a disaster when a local street gang kidnaps Ricardo's wife. In attempt saving Ricardo's wife, another outlaw involves. In the end, Max has to infiltrate the gang to save Fabiana and perform some justice."
Saints Row IV,"PlayStation 3, PC, Xbox One, PlayStation 4, Xbox 360, Linux","Action, Adventure","Aug 20, 2013",Deep Silver,17+ Mature,86,"Saints Row IV is the fourth and the last main entry for the Saints Row franchise. Almost right after stating Steelport as the independent nation in the third game, The Boss (player) is being contacted by MI6 with a mission to eliminate STAG leader Cyrus Temple and prevent him from launching a nuclear attack. And by doing so The Boss earns complete respect and love from America. Five years after, The Boss is being elected as a President of The United States. But sudden alien invasion by Zinyak in the lead destroys everything, while they capture whole crew from the third game and main protagonist as well, putting him in the simulation world."
Firewatch,"macOS, Linux, Nintendo Switch, PlayStation 4, Xbox One, PC","Adventure, Indie","Feb 8, 2016",Campo Santo,17+ Mature,81,"Firewatch is a mysterious adventure game with beautiful graphics, which tells a story of a fire lookout Henry. From the very beginning, the game sets up a tough atmosphere of loneliness. The main action takes place in Shoshone National Forest of Wyoming in 1989 (a reference to Yellowstone fires of 1988). According to the storyline, right after the appointment to the fire tower in Shoshone forest Henry starts facing strange things. The further gameplay is based on exploring the entire forest and investigating its phenomena. Players’ progress will affect the accessibility of the distant game areas. Sometimes the silence is being interrupted by the protagonist's walkie-talkie, which connects him with his supervisor Delilah. Gameplay also includes mechanics of choice within the dialogue: each optional phrase reflects on Henry’s relations with Dalilah. In addition to the puzzles of the forest, Henry tries to solve his own experiences while wandering. Playing for Henry and his accomplice gamers will have to clear up the mysteries of the past, connected with the fire tower in Shoshone National Forest."
Warhammer: Vermintide 2,"Xbox One, PC, PlayStation 4","Action, Indie","Mar 8, 2018",Fatshark,17+ Mature,82,"Warhammer: Vermintide 2 is a first-person action game with heavy emphasis on cooperative multiplayer, a sequel to 2015 game Warhammer: End Times – Vermintide. "
Transistor,"Nintendo Switch, PlayStation 4, PC, iOS, macOS, Linux","Action, RPG, Indie","May 20, 2014",Supergiant Games,13+ Teen,83,"Transistor is a cyberpunk game that uses isometric point-of-view as its primary mechanic. Following the story of Red, she discovers a body of an unknown man with a sword in his chest called Transistor. Sword has possessed the mind and voice of its previous owner and now able to speak with Red, navigating her in a city called Cloudbank, as the Process attacked the city and still searches for Red to kill her and return the sword back to them for unknown reasons. "
Cuphead,"PlayStation 4, Nintendo Switch, Xbox One, macOS, PC","Action, Indie, Platformer","Sep 29, 2017",StudioMDHR Entertainment, Not rated,87,Hand-drawn 2D platformer in the style of 30s cartoons. 2D Dark Souls as the fans refer to the difficulty of this one. It took developers 6 years to create and polish their magnum opus. Cuphead is a classic run and gun adventure that heavily emphasizes on boss battles.
No Man's Sky,"Nintendo Switch, Xbox One, PC, PlayStation 4, PlayStation 5","Action, Adventure, RPG, Simulation, Massively Multiplayer, Indie","Aug 9, 2016",Hello Games,13+ Teen,75,No Man's Sky is a space action-adventure survival game developed by Hello Games.
The Wolf Among Us,"PS Vita, PlayStation 4, Xbox One, iOS, PC, Android, Xbox 360, macOS",Adventure,"Oct 10, 2013",Telltale Games,17+ Mature,82,"The Wolf Among Us is a five-part episodic game relying heavily on dialogues and choices of the player. The game is considered a prequel to Bill Willingham's 'Fables' comic book and features usual TellTale stylistics: cartoon-like graphics, comparing your choices to the decisions of the other players and QTEs. 'The Wolf' is the first part of the series with a promised expansion to the second season coming out in 2019.
You play as Bigby Wolf; he is a Sheriff of a Fabletown: as a typical Sheriff, you need to fulfill the requests of the Fabletown's residents and uncover mysteries lying behind the crimes there. The gameplay consists of choosing the dialogue options, reacting to QTE button-mash and watching cutscenes. 
The critics are marking down that unlike many other TellTale games 'The Wolf Among Us' borrows original comic book's portrayal thus looking better, and having the original as sequel before you eyes lets you engage with Fabula more quickly."
The Stanley Parable,"PC, macOS, Linux","Adventure, Indie","Oct 17, 2013",Galactic Cafe, Not rated,88,"The Stanley Parable is a first-person interactive story game. Being initially released in 2011 as a modification for Half-Live 2, it was entirely remade in 2013, featuring updated graphics and more content. 
The game follows Stanley, an office worker whose job boils down to pressing buttons on the keyboard depending on what he sees on his office computer screen. One day the screen goes black and Stanley, not knowing what to do, decides to investigate the building. 
The gameplay consists of exploring a deserted office building. The game has 19 possible endings that depend on which way the player chooses to explore his surroundings. The Stanley Parable’s key feature is the permanent presence of the narrator who comments protagonist’s actions and suggests player what to do next. However, the player can ignore his suggestions which makes the narrator adjust his story to the player’s actions."
DOOM Eternal,"PC, PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5","Action, Shooter","Mar 20, 2020",Bethesda Softworks,17+ Mature,86,"As the DOOM Slayer, you return to find Earth has suffered a demonic invasion. Raze Hell and discover the Slayer’s origins and his enduring mission to rip and tear…until it is done."
Trine 2: Complete Story,"PlayStation 4, Nintendo Switch, PC, Linux, macOS","Action, Indie, Puzzle, Platformer","Jun 5, 2013",Frozenbyte, Not rated,84,"Trine II takes a few years after the first game. Successfully saving the kingdom, Amadeus seeks the fireball spells. Yet he is summoned to save the homeland with his friends - Zoya and Pontious. Goblins have taken over the land as they are trying to find the mysterious ""Witch"" deep in the forest. "
Viscera Cleanup Detail: Shadow Warrior,"macOS, PC","Action, Simulation, Indie","Sep 26, 2013",Devolver Digital,17+ Mature,77,"Viscera Cleanup Detail is about cleaning. After a brutal fight with endless waves of enemies, you must really live a bloody mess after yourselves. That's where Space-Station Janitors come in to play with their mops, buckets of water and biohazard bins to clean the area for the next bloody fight. "
SOMA,"PlayStation 4, Xbox One, PC, macOS, Linux","Action, Adventure, Indie","Sep 21, 2015",Frictional Games,17+ Mature,84,"SOMA is a sci-fi survival horror that makes you rethink the description of death. You play as Simon Jarrett who was injured in a crash accident and agreed for an experimental operation on his brain. He wakes up at an abandoned underwater facility full of mutants. Trying to figure out what’s going on, Simon finds Catherine Chun, a scientist, who tells him about the technology of copying the human personality.
The gameplay is based on exploration and puzzle solving. There's no combat, and you are meant to avoid enemies and act stealthily. To progress through the story, you need to search for clues, read multiple notes and solve puzzles.   
Though there are monsters in SOMA, it frightens with its atmosphere in the first place. A dark, abandoned station with dead people, uncertainty and the lack of any understanding of what is waiting for you is scarier than screamers and blood rivers. Moral choices you have to make don’t affect the story much: instead, they change your attitude to the events, so it’s you who develops through the game."
